entry,exit,total_trades,win_rate,total_pnl,profit_factor,max_drawdown
E1_MACD,EX4,40,0.5,-15345.04534800483,0.9820466661999514,286239.75746832974
E6_MACD,EX2,11,0.5454545454545454,-15702.05612246924,0.9408819191774973,146128.91078588378
E6_MACD,EX7,11,0.5454545454545454,-15702.05612246924,0.9408819191774973,146128.91078588378
E6_MACD,EX4,11,0.5454545454545454,-15702.05612246924,0.9408819191774973,146128.91078588378
E1_MACD,EX3,34,0.2352941176470588,-20820.097664367713,0.981475504538893,734724.1835466325
E1_MACD,EX7,39,0.48717948717948717,-28927.831257139027,0.9661551335370657,299822.54337746406
E2_MACD,EX7_MACD,27,0.5555555555555556,-33190.95136953743,0.9534573030038812,276188.8950376193
E2_MACD,EX4_MACD,27,0.5555555555555556,-33190.95136953743,0.9534573030038812,276188.8950376193
E2_MACD,EX2_MACD,27,0.5555555555555556,-33190.95136953743,0.9534573030038812,276188.8950376193
E1_MACD,EX4_MACD,41,0.5121951219512195,-38143.72607834927,0.9553727583639068,302622.85223401233
E1_MACD,EX2_MACD,41,0.5121951219512195,-38143.72607834927,0.9553727583639068,302622.85223401233
E1_MACD,EX7_MACD,40,0.5,-51726.51198748346,0.9394812257010211,316205.6381431465
E6_MACD,EX7_MACD,11,0.5454545454545454,-57532.99113197073,0.7833888763884183,146128.9107858839
